UserPrincipalName,Alias,Name,FirstName,LastName,DisplayName
MGarcia@adatum.local,MGarcia,MonicaGarcia,Monica,Garcia,Monica Garcia
LOsuna@adatum.local,LOsuna,LuisOsuna,Luis,Osuna,Luis Osuna
MHernandez@adatum.local,MHernandez,MarioHernandez,Mario,Hernandez,Mario Hernandez
DVelazquez@adatum.local,DVelazquez,DiegoVelazquez,Diego,Velazquez,Diego Velazquez
AAlfort@adatum.local,AAlfort,AaronAlfort,Aaron,Alfort,Aaron Alfort
AAllendorf@adatum.local,AAllendorf,AbrahamAllendorf,Abraham,Allendorf,Abraham Allendorf
AAlsop@adatum.local,AAlsop,AceaAlsop,Acea,Alsop,Acea Alsop
AAmaker@adatum.local,AAmaker,AdamAmaker,Adam,Amaker,Adam Amaker
AAngus@adatum.local,AAngus,AidanAngus,Aidan,Angus,Aidan Angus
AAnnan@adatum.local,AAnnan,AinsleeAnnan,Ainslee,Annan,Ainslee Annan
AAnnesley@adatum.local,AAnnesley,AlanAnnesley,Alan,Annesley,Alan Annesley
AAppleby@adatum.local,AAppleby,AleenAppleby,Aleen,Appleby,Aleen Appleby
AArbuthnot@adatum.local,AArbuthnot,AlexaArbuthnot,Alexa,Arbuthnot,Alexa Arbuthnot
AArmitage@adatum.local,AArmitage,AlexanderArmitage,Alexander,Armitage,Alexander Armitage
AArtois@adatum.local,AArtois,AlixandriaArtois,Alixandria,Artois,Alixandria Artois
AArundel@adatum.local,AArundel,AliyahArundel,Aliyah,Arundel,Aliyah Arundel
AAshburton@adatum.local,AAshburton,AlkaAshburton,Alka,Ashburton,Alka Ashburton
AAstor@adatum.local,AAstor,AlpAstor,Alp,Astor,Alp Astor
AAthill@adatum.local,AAthill,AlysonAthill,Alyson,Athill,Alyson Athill
ABarnwell@adatum.local,ABarnwell,AntonyBarnwell,Antony,Barnwell,Antony Barnwell
ABarringer@adatum.local,ABarringer,ArianaBarringer,Ariana,Barringer,Ariana Barringer
ABarrow@adatum.local,ABarrow,ArielleBarrow,Arielle,Barrow,Arielle Barrow
ABarry@adatum.local,ABarry,ArieneBarry,Ariene,Barry,Ariene Barry
ABarstow@adatum.local,ABarstow,ArmindaBarstow,Arminda,Barstow,Arminda Barstow
ABeakley@adatum.local,ABeakley,AshantiBeakley,Ashanti,Beakley,Ashanti Beakley
ABeal@adatum.local,ABeal,AshleyBeal,Ashley,Beal,Ashley Beal
ABeckett@adatum.local,ABeckett,AshtonBeckett,Ashton,Beckett,Ashton Beckett
ABeckwith@adatum.local,ABeckwith,AudreyBeckwith,Audrey,Beckwith,Audrey Beckwith
ABedford@adatum.local,ABedford,AudrinaBedford,Audrina,Bedford,Audrina Bedford
ABeers@adatum.local,ABeers,AuroraBeers,Aurora,Beers,Aurora Beers
ABellamy@adatum.local,ABellamy,AutumnBellamy,Autumn,Bellamy,Autumn Bellamy
BBelvidere@adatum.local,BBelvidere,BaileyBelvidere,Bailey,Belvidere,Bailey Belvidere
BBentley@adatum.local,BBentley,BaileyBentley,Bailey,Bentley,Bailey Bentley
BBerwick@adatum.local,BBerwick,BeatriceBerwick,Beatrice,Berwick,Beatrice Berwick
BBethune@adatum.local,BBethune,BeckyBethune,Becky,Bethune,Becky Bethune
BBeveridge@adatum.local,BBeveridge,BelleBeveridge,Belle,Beveridge,Belle Beveridge
BBeverly@adatum.local,BBeverly,BenjaminBeverly,Benjamin,Beverly,Benjamin Beverly
BBiggar@adatum.local,BBiggar,BeverleyBiggar,Beverley,Biggar,Beverley Biggar
BBillings@adatum.local,BBillings,BiancaBillings,Bianca,Billings,Bianca Billings
BBingham@adatum.local,BBingham,BlakeBingham,Blake,Bingham,Blake Bingham
BBinney@adatum.local,BBinney,BradenBinney,Braden,Binney,Braden Binney
BBirch@adatum.local,BBirch,BradleyBirch,Bradley,Birch,Bradley Birch
BBirney@adatum.local,BBirney,BradyBirney,Brady,Birney,Brady Birney
BBlackwood@adatum.local,BBlackwood,BrendanBlackwood,Brendan,Blackwood,Brendan Blackwood
BBlaisdale@adatum.local,BBlaisdale,BrentBlaisdale,Brent,Blaisdale,Brent Blaisdale
BBlaney@adatum.local,BBlaney,BrianBlaney,Brian,Blaney,Brian Blaney
BBloss@adatum.local,BBloss,BrianaBloss,Briana,Bloss,Briana Bloss
BBogue@adatum.local,BBogue,BriettaBogue,Brietta,Bogue,Brietta Bogue
BBolingbroke@adatum.local,BBolingbroke,BronwenBolingbroke,Bronwen,Bolingbroke,Bronwen Bolingbroke
BBolton@adatum.local,BBolton,BrookeBolton,Brooke,Bolton,Brooke Bolton
BBonar@adatum.local,BBonar,BrownBonar,Brown,Bonar,Brown Bonar
CBoswell@adatum.local,CBoswell,CadeBoswell,Cade,Boswell,Cade Boswell
CBoughton@adatum.local,CBoughton,CaitlinBoughton,Caitlin,Boughton,Caitlin Boughton
CBourne@adatum.local,CBourne,CaleBourne,Cale,Bourne,Cale Bourne
CBoynton@adatum.local,CBoynton,CalebBoynton,Caleb,Boynton,Caleb Boynton
CBradford@adatum.local,CBradford,CalumBradford,Calum,Bradford,Calum Bradford
CBraine@adatum.local,CBraine,CameronBraine,Cameron,Braine,Cameron Braine
CBrandon@adatum.local,CBrandon,CameronBrandon,Cameron,Brandon,Cameron Brandon
CBreck@adatum.local,CBreck,CaraBreck,Cara,Breck,Cara Breck
CBreckenridge@adatum.local,CBreckenridge,CariBreckenridge,Cari,Breckenridge,Cari Breckenridge
CBrentwood@adatum.local,CBrentwood,CarinBrentwood,Carin,Brentwood,Carin Brentwood
CBriare@adatum.local,CBriare,CarissaBriare,Carissa,Briare,Carissa Briare
CBridges@adatum.local,CBridges,CarolynBridges,Carolyn,Bridges,Carolyn Bridges
CBrienne@adatum.local,CBrienne,CarrieBrienne,Carrie,Brienne,Carrie Brienne
CBrierly@adatum.local,CBrierly,CarriganBrierly,Carrigan,Brierly,Carrigan Brierly
CBrighton@adatum.local,CBrighton,CarringtonBrighton,Carrington,Brighton,Carrington Brighton
CBrocklesby@adatum.local,CBrocklesby,CaryBrocklesby,Cary,Brocklesby,Cary Brocklesby
CBrodt@adatum.local,CBrodt,CaseyBrodt,Casey,Brodt,Casey Brodt
CBromley@adatum.local,CBromley,CassandraBromley,Cassandra,Bromley,Cassandra Bromley
CBrooks@adatum.local,CBrooks,CassieBrooks,Cassie,Brooks,Cassie Brooks
CBroomfield@adatum.local,CBroomfield,CatherineBroomfield,Catherine,Broomfield,Catherine Broomfield
CBrougham@adatum.local,CBrougham,CeasarBrougham,Ceasar,Brougham,Ceasar Brougham
CBroughton@adatum.local,CBroughton,ChandaBroughton,Chanda,Broughton,Chanda Broughton
CBryne@adatum.local,CBryne,ChandniBryne,Chandni,Bryne,Chandni Bryne
CBuchan@adatum.local,CBuchan,ChanelleBuchan,Chanelle,Buchan,Chanelle Buchan
CBuchanan@adatum.local,CBuchanan,CherylBuchanan,Cheryl,Buchanan,Cheryl Buchanan
CBuckbee@adatum.local,CBuckbee,CheyenneBuckbee,Cheyenne,Buckbee,Cheyenne Buckbee
CCadwell@adatum.local,CCadwell,CourtneyCadwell,Courtney,Cadwell,Courtney Cadwell
DCalder@adatum.local,DCalder,DaisyCalder,Daisy,Calder,Daisy Calder
DCaldwell@adatum.local,DCaldwell,DakotahCaldwell,Dakotah,Caldwell,Dakotah Caldwell
DCarden@adatum.local,DCarden,DakotahCarden,Dakotah,Carden,Dakotah Carden
DCarmichael@adatum.local,DCarmichael,DamianCarmichael,Damian,Carmichael,Damian Carmichael
DCary@adatum.local,DCary,DanicaCary,Danica,Cary,Danica Cary
